id,price_doc
30474,5448555.5
30475,8517570.0
30476,5389902.5
30477,5937156.0
30478,5151572.0
30479,9654658.0
30480,4333713.0
30481,4356614.5
30482,4778176.0
30483,4909881.5
30484,6446054.0
30485,5103039.5
30486,3676752.25
30487,4000376.25
30488,6258028.0
30489,6318576.5
30490,23168670.0
30491,20494026.0
30492,5930295.5
30493,13857020.0
30494,7034729.0
30495,10597382.0
30496,8601650.0
30497,8544246.0
30498,4660232.0
30499,8408340.0
30500,11401274.0
30501,6984407.5
30502,3317103.75
30503,6882030.5
30504,5785244.5
30505,11090598.0
30506,3542068.25
30507,4895266.5
30508,5441257.5
30509,7650768.0
30510,9489296.0
30511,6746985.0
30512,6345182.5
30513,4381861.0
30514,3734644.25
30515,9986720.0
30516,5951255.5
30517,11381746.0
30518,8797428.0
30519,4560431.5
30520,7068916.0
30521,6256455.5
30522,7727905.5
30523,6561636.0
30524,10661380.0
30525,12005556.0
30526,5104808.0
30527,4984024.5
30528,7009994.0
30529,6909690.5
30530,6367396.5
30531,14779234.0
30532,5011229.5
30533,10990818.0
30534,6748897.5
30535,9792306.0
30536,6010217.5
30537,11663294.0
30538,4922628.5
30539,8621268.0
30540,9877942.0
30541,6112309.5
30542,2292828.75
30543,5678126.0
30544,6879534.0
30545,8611488.0
30546,4279150.0
30547,10079182.0
30548,4648985.5
30549,5247294.5
30550,12311444.0
30551,5311742.0
30552,1988186.625
30553,7824144.5
30554,11305288.0
30555,6359244.5
30556,9281092.0
30557,7618912.5
30558,9704996.0
30559,6473887.5
30560,6435909.0
30561,6947326.0
30562,12598684.0
30563,5016805.5
30564,7312693.5
30565,6727032.5
30566,7112976.0
30567,2143937.5
30568,9864988.0
30569,10193750.0
30570,6852392.5
30571,7709759.0
30572,4980300.0
30573,6681274.5
30574,6287765.0
30575,7790562.5
30576,4965544.5
30577,4223342.5
30578,3466691.0
30579,7077066.0
30580,4676013.5
30581,5602191.5
30582,12774430.0
30583,7013614.5
30584,4366832.0
30585,2531484.75
30586,9654430.0
30587,5791591.0
30588,7894166.5
30589,7325772.5
30590,12528798.0
30591,5440950.0
30592,6483398.0
30593,8166509.5
30594,6693932.5
30595,5760371.5
30596,6781662.0
30597,6681274.5
30598,9768448.0
30599,10861058.0
30600,4902703.0
30601,6066516.0
30602,1851776.25
30603,12363718.0
30604,4638349.5
30605,6961772.0
30606,26998176.0
30607,6847867.5
30608,8848296.0
30609,6311069.0
30610,3184758.0
30611,5484689.5
30612,7211795.0
30613,9011690.0
30614,16987580.0
30615,7532834.0
30616,5618476.0
30617,9378808.0
30618,4954256.5
30619,4293513.5
30620,2803135.5
30621,9128730.0
30622,7792387.0
30623,6359759.0
30624,7068113.5
30625,8277294.0
30626,6322127.5
30627,7402322.5
30628,6622704.0
30629,5414453.5
30630,4774207.0
30631,6277621.0
30632,4150479.0
30633,5908012.0
30634,11605246.0
30635,9877942.0
30636,5317886.5
30637,9871378.0
30638,6121018.5
30639,7795414.5
30640,4779881.5
30641,8300405.5
30642,6616608.5
30643,7891293.5
30644,9768448.0
30645,7379656.0
30646,5334401.0
30647,4833167.5
30648,24948514.0
30649,2169336.25
30650,5095724.0
30651,3653732.0
30652,4663837.0
30653,7331109.0
30654,4403611.0
30655,13403266.0
30656,4063102.25
30657,6477367.0
30658,12031668.0
