"id","tags"
"0","FICTION NOVEL"
"1","FICTION NOVEL HISTORICAL-NOVEL"
"2","FICTION NOVEL"
"3","NOVEL HISTORICAL-FICTION HISTORICAL-NOVEL"
"4","SPECULATIVE-FICTION FICTION NOVEL"
"5","FICTION NOVEL"
"6","FICTION NOVEL"
"7","SCIENCE-FICTION SPECULATIVE-FICTION"
"8","SCIENCE-FICTION SPECULATIVE-FICTION FICTION NOVEL"
"9","SCIENCE-FICTION SPECULATIVE-FICTION"
"10","SCIENCE-FICTION SPECULATIVE-FICTION ALTERNATE-HISTORY"
"11","FICTION NOVEL"
"12","SPECULATIVE-FICTION FICTION NOVEL"
"13","SCIENCE-FICTION SPECULATIVE-FICTION"
"14","FICTION NOVEL"
"15","FICTION NOVEL"
"16","SPECULATIVE-FICTION FICTION NOVEL"
"17","SCIENCE-FICTION SPECULATIVE-FICTION FICTION"
"18","SCIENCE-FICTION SPECULATIVE-FICTION FICTION FANTASY"
"19","SCIENCE-FICTION SPECULATIVE-FICTION FICTION FANTASY"
"20","SCIENCE-FICTION SPECULATIVE-FICTION"
"21","SCIENCE-FICTION SPECULATIVE-FICTION"
"22","FICTION NOVEL"
"23","FICTION NOVEL"
"24","FICTION NOVEL"
"25","FICTION CHILDREN'S-LITERATURE YOUNG-ADULT-LITERATURE"
"26","SPECULATIVE-FICTION FICTION NOVEL"
"27","FICTION NOVEL"
"28","FICTION NOVEL"
"29","FICTION THRILLER"
"30","SCIENCE-FICTION SPECULATIVE-FICTION"
"31","SPECULATIVE-FICTION FANTASY"
"32","FICTION MYSTERY SUSPENSE SPY-FICTION THRILLER CRIME-FICTION"
"33","SCIENCE-FICTION SPECULATIVE-FICTION FICTION FANTASY CHILDREN'S-LITERATURE"
"34","FICTION MYSTERY DETECTIVE-FICTION"
"35","FICTION NOVEL"
"36","FICTION NOVEL HISTORICAL-FICTION HISTORICAL-NOVEL"
"37","SCIENCE-FICTION SPECULATIVE-FICTION"
"38","FICTION MYSTERY SUSPENSE DETECTIVE-FICTION CRIME-FICTION"
"39","SCIENCE-FICTION SPECULATIVE-FICTION FANTASY"
"40","AUTOBIOGRAPHY BIOGRAPHY MEMOIR NON-FICTION"
"41","FICTION"
"42","SPECULATIVE-FICTION NOVEL"
"43","FICTION NOVEL"
"44","SPECULATIVE-FICTION FICTION MYSTERY"
"45","FICTION CHILDREN'S-LITERATURE"
"46",""
"47","FICTION NOVEL"
"48","SCIENCE-FICTION SPECULATIVE-FICTION"
"49","FICTION NOVEL"
"50","AUTOBIOGRAPHY BIOGRAPHY MEMOIR NON-FICTION"
"51","FICTION MYSTERY SUSPENSE SPY-FICTION THRILLER CRIME-FICTION"
"52","FICTION NOVEL"
"53","SPECULATIVE-FICTION FANTASY"
"54","FICTION NOVEL THRILLER"
"55","SCIENCE-FICTION SPECULATIVE-FICTION"
"56","SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
"57","SPECULATIVE-FICTION FANTASY CHILDREN'S-LITERATURE"
"58","FICTION NOVEL"
"59","FICTION NOVEL"
"60","FICTION NOVEL HISTORICAL-FICTION HISTORICAL-NOVEL"
"61","FICTION MYSTERY SUSPENSE DETECTIVE-FICTION CRIME-FICTION"
"62","NOVEL AUTOBIOGRAPHY BIOGRAPHY MEMOIR"
"63","FICTION"
"64","SCIENCE-FICTION SPECULATIVE-FICTION"
